"","CrimeDate","CrimeTime","CrimeCode","Location","Description","Weapon","Post","District","Neighborhood","Location.1","Total.Incidents"
"633","08/22/2012",2005,"1K","1700 N CAREY ST","HOMICIDE","KNIFE",732,"WESTERN","Penn North","(39.30917, -76.64313)",1
"634","08/21/2012",135,"1O","1900 WALBROOK AV","HOMICIDE","OTHER",732,"WESTERN","Mondawmin","(39.31089, -76.64858)",1
"635","08/21/2012",2317,"1F","1700 COLE ST","HOMICIDE","FIREARM",935,"SOUTHERN","New Southwest/Mount Clare","(39.28217, -76.64358)",1
"636","08/20/2012",2102,"1F","3200 WALBROOK AV","HOMICIDE","FIREARM",812,"SOUTHWESTERN","Walbrook","(39.31004, -76.67186)",1
"637","08/17/2012",2,"1F","4200 HAMILTON AV","HOMICIDE","FIREARM",435,"NORTHEASTERN","Frankford","(39.3418, -76.54505)",1
"638","08/17/2012",2,"1F","4200 HAMILTON AV","HOMICIDE","FIREARM",435,"NORTHEASTERN","Frankford","(39.3418, -76.54505)",1
"639","08/16/2012",35,"1F","600 LINNARD ST","HOMICIDE","FIREARM",815,"SOUTHWESTERN","Edgewood","(39.29458, -76.67639)",1
"640","08/16/2012",35,"1F","600 LINNARD ST","HOMICIDE","FIREARM",815,"SOUTHWESTERN","Edgewood","(39.29458, -76.67639)",1
"641","08/12/2012",2044,"1O","3300 GARRISON BLVD","HOMICIDE","OTHER",621,"NORTHWESTERN","Central Forest Park","(39.32643, -76.68264)",1
"642","08/10/2012",357,"1F","0 E CHASE ST","HOMICIDE","FIREARM",142,"CENTRAL","Mid-Town Belvedere","(39.30238, -76.61504)",1
"643","08/06/2012",2336,"1F","2700 GILES RD","HOMICIDE","FIREARM",922,"SOUTHERN","Cherry Hill","(39.24958, -76.63049)",1
"644","08/04/2012",129,"1F","3000 W GARRISON AV","HOMICIDE","FIREARM",615,"NORTHWESTERN","Central Park Heights","(39.34863, -76.67146)",1
"645","08/03/2012",122,"1F","3000 ROSEDALE CT","HOMICIDE","FIREARM",814,"SOUTHWESTERN","Rosemont","(39.30239, -76.66843)",1
"646","08/02/2012",20,"1F","4400 PARKTON ST","HOMICIDE","FIREARM",833,"SOUTHWESTERN","Yale Heights","(39.2774, -76.69006)",1
"647","08/01/2012",317,"1F","1200 POPLAR GROVE ST","HOMICIDE","FIREARM",814,"SOUTHWESTERN","Winchester","(39.30151, -76.6654)",1
"648","08/01/2012",1627,"1K","5100 REISTERSTOWN RD","HOMICIDE","KNIFE",614,"NORTHWESTERN","Langston Hughes","(39.34241, -76.68272)",1
"649","07/31/2012",2320,"1F","2500 FREDERICK AV","HOMICIDE","FIREARM",836,"SOUTHWESTERN","Shipley Hill","(39.28327, -76.65616)",1
"650","07/30/2012",405,"1O","1800 W NORTH AV","HOMICIDE","OTHER",733,"WESTERN","Mondawmin","(39.30991, -76.64662)",1
"651","07/28/2012",229,"1F","1400 POPLAR GROVE ST","HOMICIDE","FIREARM",814,"SOUTHWESTERN","Northwest Community Action","(39.30368, -76.66549)",1
"652","07/27/2012",1818,"1O","5900 EURITH AV","HOMICIDE","OTHER",435,"NORTHEASTERN","Cedmont","(39.34471, -76.53076)",1
"653","07/27/2012",2302,"1F","1200 N CAROLINE ST","HOMICIDE","FIREARM",322,"EASTERN","Oliver","(39.30431, -76.59802)",1
"654","07/26/2012",2153,"1F","1000 EVESHAM AV","HOMICIDE","FIREARM",522,"NORTHERN","Chinquapin Park","(39.36108, -76.60023)",1
"655","07/26/2012",342,"1F","1600 N SMALLWOOD ST","HOMICIDE","FIREARM",735,"WESTERN","Coppin Heights/Ash-Co-East","(39.30693, -76.65258)",1
"656","07/23/2012",2228,"1F","1500 MC KEAN AV","HOMICIDE","FIREARM",724,"WESTERN","Sandtown-Winchester","(39.3053, -76.6471)",1
"657","07/17/2012",122,"1F","4300 6TH ST","HOMICIDE","FIREARM",913,"SOUTHERN","Brooklyn","(39.22727, -76.60058)",1
"658","07/16/2012",128,"1F","5500 LOTHIAN RD","HOMICIDE","FIREARM",523,"NORTHERN","Mid-Govans","(39.35623, -76.60246)",1
"659","07/10/2012",410,"1F","4100 W FOREST PARK AV","HOMICIDE","FIREARM",623,"NORTHWESTERN","Central Forest Park","(39.32442, -76.68735)",1
"660","07/08/2012",2354,"1F","3200 SPAULDING AV","HOMICIDE","FIREARM",614,"NORTHWESTERN","Central Park Heights","(39.3483, -76.67486)",1
"661","07/06/2012",2349,"1F","1000 LEADENHALL ST","HOMICIDE","FIREARM",942,"SOUTHERN","Sharp-Leadenhall","(39.27782, -76.61747)",1
"662","07/05/2012",125,"1F","2300 EUTAW PL","HOMICIDE","FIREARM",135,"CENTRAL","Reservoir Hill","(39.31243, -76.63587)",1
"663","07/05/2012",1025,"1F","400 LAURENS ST","HOMICIDE","FIREARM",131,"CENTRAL","Madison Park","(39.30704, -76.63195)",1
"664","07/05/2012",2131,"1F","3400 RAVENWOOD AV","HOMICIDE","FIREARM",413,"NORTHEASTERN","Four By Four","(39.31536, -76.57551)",1
"665","07/03/2012",1525,"1F","1400 E PRESTON ST","HOMICIDE","FIREARM",322,"EASTERN","Oliver","(39.30518, -76.59947)",1
"666","06/29/2012",2142,"1F","2100 DENISON ST","HOMICIDE","FIREARM",812,"SOUTHWESTERN","Mount Holly","(39.31113, -76.67429)",1
